Name of MALDI Data,X,Y,Z,Radii
0_R00X078Y148,-9.177,32.2727,48.7796,1
0_R00X078Y149,-9.1715,32.2768,48.7484,1
0_R00X078Y150,-9.1625,32.2806,48.7065,1
0_R00X078Y151,-9.153,32.2821,48.6706,1
0_R00X078Y152,-9.1413,32.2864,48.6223,1
0_R00X078Y153,-9.1326,32.2911,48.5841,1
0_R00X078Y154,-9.1236,32.2961,48.545,1
0_R00X078Y155,-9.1087,32.3001,48.4956,1
0_R00X078Y156,-9.0976,32.3089,48.4503,1
0_R00X078Y157,-9.0891,32.3144,48.4203,1
0_R00X078Y158,-9.0776,32.3209,48.382,1
0_R00X078Y159,-9.0644,32.3278,48.3396,1
0_R00X078Y160,-9.0481,32.3427,48.2809,1
0_R00X078Y161,-9.0269,32.3511,48.2282,1
0_R00X078Y162,-9.0046,32.3654,48.1739,1
0_R00X078Y163,-8.9911,32.3767,48.1455,1
0_R00X078Y164,-8.967,32.3919,48.1017,1
0_R00X079Y117,-9.3706,32.7907,48.114,1
0_R00X079Y118,-9.3824,32.7817,48.1513,1
0_R00X079Y119,-9.3957,32.7761,48.1972,1
0_R00X079Y120,-9.4042,32.7704,48.2515,1
0_R00X079Y121,-9.4124,32.7702,48.2951,1
0_R00X079Y122,-9.4254,32.7694,48.361,1
0_R00X079Y123,-9.4353,32.7657,48.4213,1
0_R00X079Y124,-9.4427,32.7622,48.4792,1
0_R00X079Y125,-9.4476,32.7569,48.5203,1
0_R00X079Y126,-9.4652,32.7547,48.5886,1
0_R00X079Y127,-9.4776,32.7493,48.637,1
0_R00X079Y128,-9.4927,32.7404,48.6977,1
0_R00X079Y129,-9.5045,32.7319,48.7449,1
0_R00X079Y130,-9.5155,32.7215,48.7955,1
0_R00X079Y131,-9.5268,32.7132,48.8431,1
0_R00X079Y132,-9.5473,32.7057,48.9092,1
0_R00X079Y133,-9.5702,32.6975,48.9697,1
0_R00X079Y134,-9.5887,32.6842,49.0294,1
0_R00X079Y135,-9.6115,32.67,49.0974,1
0_R00X079Y136,-9.6324,32.6604,49.153,1
0_R00X079Y137,-9.6487,32.65,49.204,1
0_R00X079Y138,-9.6669,32.6417,49.2593,1
0_R00X079Y139,-9.6805,32.6329,49.3131,1
0_R00X079Y140,-9.6943,32.63,49.364,1
0_R00X079Y141,-9.7049,32.6157,49.4825,1
0_R00X079Y142,-9.7163,32.6112,49.5686,1
0_R00X079Y143,-9.726,32.6056,49.6571,1
0_R00X079Y144,-9.7338,32.5958,49.731,1
0_R00X079Y145,-9.7464,32.5855,49.8212,1
0_R00X079Y146,-9.7574,32.5774,49.9002,1
0_R00X079Y147,-9.7654,32.5722,49.9667,1
0_R00X079Y148,-9.7696,32.5633,50.0643,1
0_R00X079Y149,-9.7688,32.566,50.128,1
0_R00X079Y150,-9.7766,32.5633,50.217,1
